               1      -1	d                       d                               
              -1       1	anti-d                  \bar{d}                         
               2       2	u                       u                               
              -2      -2	anti-u                  \bar{u}                         
               3      -1	s                       s                               
              -3       1	anti-s                  \bar{s}                         
               4       2	c                       c                               
              -4      -2	anti-c                  \bar{c}                         
               5      -1	b                       b                               
              -5       1	anti-b                  \bar{b}                         
               6       2	t                       t                               
              -6      -2	anti-t                  \bar{t}                         
               7      -1	b'                      b^{\prime}                      
              -7       1	anti-b'                 \bar{b}_{\prime}                
               8       2	t'                      t^{\prime}                      
              -8      -2	anti-t'                 \bar{t}^{\prime}                
              11      -3	e-                      e^{-}                           
             -11       3	e+                      e^{+}                           
              12       0	nu_e                    \nu_{e}                         
             -12       0	anti-nu_e               \bar{\nu}_{e}                   
              13      -3	mu-                     \mu^{-}                         
             -13       3	mu+                     \mu^{+}                         
              14       0	nu_mu                   \nu_{\mu}                       
             -14       0	anti-nu_mu              \bar{\nu}_{\mu}                 
              15      -3	tau-                    \tau^{-}                        
             -15       3	tau+                    \tau^{+}                        
              16       0	nu_tau                  \nu_{\tau}                      
             -16       0	anti-nu_tau             \bar{\nu}_{\tau}                
              17      -3	L-                      L^{-}                           
             -17       3	L+                      L^{+}                           
              18       0	nu_L                    \nu_{L}                         
             -18       0	anti-nu_L               \bar{\nu}_{L}                   
              21       0	g                       g                               
              22       0	gamma                   \gamma                          
             -22       0	gammaFSR                \gamma^{FSR}                    
              23       0	Z0                      Z0                              
              24       3	W+                      W^{+}                           
             -24      -3	W-                      W^{-}                           
              25       0	Higgs0                  h^{0}                           
              28       0	reggeon                 reggeon                         
              29       0	pomeron                 pomeron                         
              32       0	Z'0                     Z^{\prime0}                     
              33       0	Z''0                    Z^{\prime\prime}                
              34       3	W'+                     W^{\prime+}                     
             -34      -3	W'-                     W^{\prime-}                     
              35       0	Higgs'0                 Higgs^{\prime0}                 
              36       0	A0                      A^{0}                           
              37       3	Higgs+                  Higgs+                          
             -37      -3	Higgs-                  Higgs-                          
              40       0	R0                      R^{0}                           
             -40       0	anti-R0                 \bar{R}^{0}                     
              41       0	Xu0                     X_{u}^{0}                       
              42       3	Xu+                     X_{u}^{+}                       
             -42      -3	Xu-                     X_{u}^{-}                       
              51       0	dummy00_1               dummy00_{1}                     
             -51       0	anti-dummy00_1          \bar{dummy00}_{1}               
              52       3	dummy10_1               dummy10_{1}                     
             -52      -3	anti-dummy10_1          \bar{dummy10}_{1}               
              53       0	dummy01_1               dummy01_{1}                     
             -53       0	anti-dummy01_1          \bar{dummy01}_{1}               
              54       3	dummy11_1               dummy11_{1}                     
             -54      -3	anti-dummy11_1          \bar{dummy11}_{1}               
              55       0	dummy00_2               dummy00_{2}                     
             -55       0	anti-dummy00_2          \bar{dummy00}_{2}               
              56       3	dummy10_2               dummy10_{2}                     
             -56      -3	anti-dummy10_2          \bar{dummy10}_{2}               
              57       0	dummy01_2               dummy01_{2}                     
             -57       0	anti-dummy01_2          \bar{dummy01}_{2}               
              58       3	dummy11_2               dummy11_{2}                     
             -58      -3	anti-dummy11_2          \bar{dummy11}_{2}               
              81       0	specflav                specflav                        
              82       0	rndmflav                rndmflav                        
             -82       0	anti-rndmflav           \bar{rndmflav}                  
              83       0	phasespa                phasespa                        
              84       2	c-hadron                c-hadron                        
             -84      -2	anti-c-hadron           \bar{c}-hadron                  
              85      -1	b-hadron                b-hadron                        
             -85       1	anti-b-hadron           \bar{b}-hadron                  
              86       2	t-hadron                t-hadron                        
             -86      -2	anti-t-hadron           \bar{t}-hadron                  
              87      -1	b'-hadron               b^{\prime}-hadron               
             -87       1	anti-b'-hadron          \bar{b}^{\prime}-hadron         
              88       2	t'-hadron               t^{\prime}-hadron               
             -88      -2	anti-t'-hadron          \bar{t}^{\prime}-hadron         
              89       3	Wvirt+                  Wvirt^{+}                       
             -89      -3	Wvirt-                  Wvirt^{-}                       
              90       0	diquark                 diquark                         
             -90       0	anti-diquark            \bar{diquark}                   
              91       0	cluster                 cluster                         
              92       0	string                  string                          
              93       0	indep                   indep                           
              94       0	CMshower                CMshower                        
              95       0	SPHEaxis                SPHEaxis                        
              96       0	THRUaxis                THRUaxis                        
              97       0	CLUSjet                 CLUSjet                         
              98       0	CELLjet                 CELLjet                         
              99       0	table                   table                           
             100       0	geantino                geantino                        
             101       3	chargedgeantino         chargedgeantino                 
             110       0	rho_diff0               \rho_{diff}^{0}                 
             111       0	pi0                     \pi^{0}                         
             113       0	rho0                    \rho^{0}                        
             115       0	a_20                    a_{2}^{0}                       
             130       0	K_L0                    K_{L}                           
             150       0	B0L                     B0L                             
             210       3	pi_diff+                \pi_{diff}^{+}                  
